vehicle,time,event,px,py,pz,speed,desiredSpeed,maxSpeed,lane,pathId,intersectionId,distTravelled,pathLength,pathPct,decision,probability,motionState,signalState,maneuverState,isBlocked,isStuck,isInQueue,routeTrace
Car_9(Clone)_7049,22.42,FRAME,-8.75,0.01,-152.85,10.96,11.00,11.00,Lane_way s_5,Path_way s_5,way s,187.14,316.79,0.591,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_5
Car_1(Clone)_2187,22.42,FRAME,-339.99,-0.27,1.75,0.00,13.12,14.48,Lane_way w_3,Path_way w_3,way w,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_1(Clone)_4817,22.42,FRAME,8.75,-0.27,339.99,0.00,13.52,15.83,Lane_way n_0,Path_way n_0,way n,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Taxi(Clone)_3623,22.42,FRAME,5.25,0.01,283.12,8.46,8.49,8.49,Lane_way n_1,Path_way n_1,way n,56.87,316.79,0.180,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_2(Clone)_4356,22.42,FRAME,-5.25,0.02,-282.31,15.70,15.95,16.98,Lane_way s_4,Path_way s_4,way s,57.68,316.79,0.182,,,Cruising,Approaching,LaneChangeLeft,0,0,0,START>LC:Lane_way s_4
Car_2(Clone)_2008,22.42,STATE_MOTION,,,,,,,,Cruising,,,,,,,,,,,,,START
MiniBus_Ambulance(Clone)_2928,22.42,FRAME,-1.75,0.00,-316.86,9.61,9.72,9.72,Lane_way s_3,Path_way s_3,way s,23.13,316.79,0.073,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Taxi(Clone)_8646,22.42,FRAME,1.75,0.01,337.25,4.87,13.11,15.06,Lane_way n_2,Path_way n_2,way n,2.74,316.79,0.009,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_4(Clone)_1430,22.43,FRAME,-96.03,-0.03,8.75,13.86,13.93,15.72,Lane_way w_5,Path_way w_5,way w,243.96,316.79,0.770,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way w_5
Car_9(Clone)_5828,22.43,FRAME,1.75,0.01,230.25,13.46,13.53,13.53,Lane_way n_2,Path_way n_2,way n,109.74,316.79,0.346,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_6(Clone)_8350,22.43,COLLISION_RISK,,,,,,,,MiniBus_Ambulance(Clone)_4009,rear_left,,,,dist=23.4 closing=5.1,,,,,,,,START
MiniBus_Ambulance(Clone)_4009,22.43,FRAME,-320.35,0.00,2.03,12.54,16.49,17.89,Lane_way w_3,Path_way w_3,way w,19.64,316.79,0.062,,,Cruising,Approaching,LaneChangeLeft,0,0,0,START>LC:Lane_way w_3
Car_7(Clone)_4862,22.45,FRAME,84.92,0.00,-1.75,12.86,12.92,12.92,Lane_way e_2,Path_way e_2,way e,255.07,316.79,0.805,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_4(Clone)_8440,22.45,FRAME,115.32,-0.03,-5.25,13.48,13.54,14.20,Lane_way e_1,Path_way e_1,way e,224.67,316.79,0.709,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way e_1
Car_4(Clone)_1552,22.45,FRAME,-126.89,-0.03,5.25,14.50,14.57,17.02,Lane_way w_4,Path_way w_4,way w,213.10,316.79,0.673,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way w_4
Jeep_2(Clone)_5775,22.45,FRAME,-5.25,0.01,-163.94,14.24,14.33,15.64,Lane_way s_4,Path_way s_4,way s,176.05,316.79,0.556,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_4
Car_2(Clone)_2008,22.45,FRAME,293.91,0.02,-8.75,11.85,12.33,12.33,Lane_way e_0,Path_way e_0,way e,46.08,316.79,0.145,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,22.47,FRAME,5.25,0.00,103.62,12.25,12.30,12.30,Lane_way n_1,Path_way n_1,way n,236.37,316.79,0.746,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_2(Clone)_9622,22.47,FRAME,161.11,0.02,-8.75,11.96,12.02,12.02,Lane_way e_0,Path_way e_0,way e,178.88,316.79,0.565,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_8(Clone)_1941,22.47,FRAME,151.95,0.02,-1.75,16.10,16.19,19.44,Lane_way e_2,Path_way e_2,way e,188.04,316.79,0.594,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way e_2
Taxi(Clone)_7712,22.47,FRAME,208.85,0.01,-8.75,12.72,12.78,12.93,Lane_way e_0,Path_way e_0,way e,131.14,316.79,0.414,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_4(Clone)_8025,22.47,FRAME,275.66,-0.03,-8.75,8.49,8.51,8.51,Lane_way e_0,Path_way e_0,way e,64.33,316.79,0.203,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_3(Clone)_8018,22.47,FRAME,5.25,-0.01,326.14,8.84,9.45,9.45,Lane_way n_1,Path_way n_1,way n,13.85,316.79,0.044,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_2(Clone)_4302,22.47,FRAME,-1.75,0.03,-339.78,0.94,12.17,12.17,Lane_way s_3,Path_way s_3,way s,0.21,316.79,0.001,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Taxi(Clone)_5327,22.50,FRAME,1.75,0.00,97.26,14.84,14.92,15.28,Lane_way n_2,Path_way n_2,way n,242.73,316.79,0.766,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way n_2
Car_3(Clone)_1086,22.50,FRAME,-186.74,-0.01,5.25,13.29,13.35,14.66,Lane_way w_4,Path_way w_4,way w,153.25,316.79,0.484,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way w_4
Car_6(Clone)_8350,22.50,COLLISION_RISK,,,,,,,,MiniBus_Ambulance(Clone)_4009,rear_left,,,,dist=23.1 closing=5.3,,,,,,,,START
Car_6(Clone)_8350,22.50,FRAME,-296.72,0.02,5.25,7.43,7.45,7.45,Lane_way w_4,Path_way w_4,way w,43.27,316.79,0.137,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_9(Clone)_2269,22.50,FRAME,-8.75,0.02,-339.98,0.07,11.65,11.65,Lane_way s_5,Path_way s_5,way s,0.01,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Jeep_2(Clone)_9985,22.51,FRAME,-5.25,0.01,-102.03,12.77,12.88,15.34,Lane_way s_4,Path_way s_4,way s,237.96,316.79,0.751,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_4
Car_7(Clone)_9820,22.51,STATE_MOTION,,,,,,,,Braking,,,,,,,,,,,,,START>LC:Lane_way s_4
